11,2,1,Dr Mohamed Salama,Computers and Society,Class p47A,1,0,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Abeer Haasan,Foundations of Marketing,L4,1,1,6,7,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Wael Hassan,Introduction to Finance,L5,1,1,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Nermine Harraz,Engineering Economics,L4,1,2,4,5,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Mohamed Gaber,Accounting,Class C40,1,2,6,7,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Yasser Elfahham,Project Management,Class 103,1,3,6,7,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Mohamed Hassan,Law & Engineering Ethics,Class 71,1,3,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Ibrahim Maarouf- Dr Mohamed Gomaa,Professional Communication Skills,Class 103,1,4,2,3,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Islam Ali,Feasibility Studies,L5,1,4,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,1,Dr Tamer Helmy,Tech Writing,K5,1,5,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Abeer Haasan,Foundations of Marketing,L4,1,1,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Wael Hassan,Introduction to Finance,L5,1,1,10,11,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Nermine Harraz,Engineering Economics,L4,1,2,6,7,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Mohamed Gaber,Accounting,Class C40,1,2,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Yasser Elfahham,Project Management,Class 103,1,3,8,9,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Mohamed Hassan,Law & Engineering Ethics,Class 71,1,3,10,11,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Ibrahim Maarouf- Dr Mohamed Gomaa,Professional Communication Skills,Class 103,1,4,4,5,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Islam Ali,Feasibility Studies,L5,1,4,10,11,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,2,Dr Tamer Helmy,Tech Writing,K5,1,5,6,7,,,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
